HOUR_,open,high,low,close,op_bought,op_sold,eth_bought,eth_sold,op_fees,eth_fees,trade_count,vwap_24h,vwap_168h
2026-01-03 20:00:00,10061.760066285844,10083.750882605667,10061.760066231698,10072.84201903221,1100.9720904018793,2226.706568712707,0.22039925224957058,0.10957061169613164,6.680119706138121,0.0003287118350883949,12,10187.727942454583,10484.103520950044
2026-01-03 21:00:00,10078.313623290705,10105.755990349195,10078.313623290705,10105.755990349195,0.0,3330.0068100731733,0.3290636152934394,0.0,9.99002043021952,0.0,7,10165.175269840334,10481.20018463181
2026-01-03 22:00:00,10105.756017315374,10105.756017315374,10044.480670321633,10044.480670321633,6104.773515201514,0.0027260273972592,2.68940721905e-07,0.607730471853257,8.1780821917776e-06,0.0018231914155597713,17,10158.488647303966,10475.68293321204
2026-01-03 23:00:00,10046.987043214127,10047.271926388104,10046.987043214127,10047.271926388104,0.0,253.5580257656255,0.02516429096078534,0.0,0.7606740772968765,0.0,2,10155.337787385859,10475.443027521054
2026-01-04 00:00:00,10047.887113467945,10095.28713128485,10047.887113467945,10095.28713128485,40.000005473719064,4851.125067908973,0.48022512183106036,0.003984195698564644,14.553375203726919,1.1952587095693931e-05,20,10146.987317205167,10471.15982197989
2026-01-04 01:00:00,10099.043280971431,10115.000438667568,10091.928793060575,10091.928793060575,2323.805154617242,1991.096875952073,0.19644708722819093,0.23069323155950694,5.973290627856219,0.0006920796946785208,16,10142.971216759346,10467.741453135915
2026-01-04 02:00:00,10091.928820008301,10091.928820008301,10038.5590627251,10038.5590627251,5249.040101465034,1.9363486948672068,0.00019193521311613,0.5230445847295515,0.005809046084601621,0.0015691337541886548,57,10135.843424514203,10463.1836465033
2026-01-04 03:00:00,10035.008297182387,10035.008297182387,9996.182300020793,9996.182300020793,3843.475778669232,0.0,0.0,0.38483646533517424,0.0,0.0011545093960055226,11,10125.007661282587,10459.49906859455
2026-01-04 04:00:00,9996.182328665163,10037.624707487263,9996.182328607896,10037.624707487263,0.4094878692008785,3933.655966149214,0.39152544753867263,4.1084932923401e-05,11.800967898447642,1.23254798770203e-07,15,10117.94344718238,10455.843135306768
2026-01-04 05:00:00,10033.052583852852,10033.052583852852,9997.994399967538,9997.994399967538,3739.767608951329,0.0,0.0,0.37443594717168444,0.0,0.0011233078415150534,9,10114.178430723094,10452.375890840724
